comment_id,video_id,comment_text,discourse_label,annotation_confidence,pass_a_label,verification_label,verification_status,adjudication_required,final_annotation_source
UgwpxEf9mpyUoXukunR4AaABAg,uA3cMFjqfaM,Entar pas dah di mars... dicemari lagi dah 🤔,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UgwTEiYx6Nd9RlIL1KV4AaABAg.97XbCnTyS7E98d3q0UnsUJ,QK01ROEqJ1A,Ada ilmu sains ka? Ko belajar universiti mana ambik jurusan apa?,Question,High,Question,Question,confirmed,False,pass_agreement
Ugx9ENdFXlUPzWuJybV4AaABAg,5_9wU8yJZ8w,yang ga pernah naik pesawat like:v,Experience,Low,Experience,Experience,needs_adjudication,True,adjudicated
Ugz251cHYahk7tnlOL14AaABAg.9ffsPNr079W9geUcCcZiHU,21seK8tKSYI,"@mujitoanam3349 tetap saja point² sampeyan lompat lompat dengan bahasa yang kacau, tidak ada bukti kuat mendukung dan argumen anda mentok di ""nasa bohong,nasa atheis blablabla""   Ada bukti kuat gak? Jangan pake ""bukti"" yang masih dipertanyakan dong, cari yang valid",Question,Low,Question,Question,needs_adjudication,True,adjudicated
Ugzdh5J632TYi_4iAKN4AaABAg,5Zi4qGpGop4,Gua Denger² Katanya Bulan Menjauh 3cm Pertahun. Iyakah Min?,Question,High,Question,Question,confirmed,False,pass_agreement
Ugw39tgtuGgoG6aKieB4AaABAg,5Zi4qGpGop4,Dari bakso,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UgwCfSLn4bf3upOxHwJ4AaABAg,5_9wU8yJZ8w,Pak Mau nanya Kalo orang amnesia kenapa bisa ngerti bahasanya sendiri?,Correction,Low,Correction,Correction,needs_adjudication,True,adjudicated
UgxNOxv3HPNxZPe0lbd4AaABAg,QK01ROEqJ1A,Besaran tengen toppa gurren laggan,Suggestion,High,Suggestion,Suggestion,confirmed,False,pass_agreement
UgyNZZ6Ksyvi6cp89j14AaABAg.8zQ_-hdcbv48zRo1rEGKy7,QK01ROEqJ1A,"Ilmuan membuat banyak peralatan antariksa., seperti saltelit antariksa yang dapat mengukur alam semesta hingga jutaan tahun cahaya, teropong raksaksa cahaya, parabola raksaksa penangkap gelombang cahaya, dan masih banyak lagi yang lain., dari itulah para ilmuan memetakan alam semesta yang sangat kompleks ini., dan mereka sudah meneliti dari ribuan tahun lamanya bro",Opinion,Low,Correction,Opinion,revised,False,verification_revision
UgzyysoZDUu0BLytdD14AaABAg.8t7JvplSB988yaL-J1Y1si,FjFsx6iQE3Y,Sebelom lautan yg sangat sangat sangat luas ada kehidupan Spongebob,Opinion,Medium,Opinion,Opinion,confirmed,False,pass_agreement
UgzSf5TEO9A68lEOmMB4AaABAg,Beod6J0genE,Kobi bilek:alamak mahalnya,Opinion,Medium,Opinion,Opinion,confirmed,False,pass_agreement
UgyKnNPQ1CT2QsByPNt4AaABAg,QK01ROEqJ1A,Bumi datar apa kabar 🤣,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UgwQQawU8oHVkb6WRvV4AaABAg,impJiSfof9E,Cocoknya di rekam kamera.,Opinion,High,Opinion,Opinion,confirmed,False,pass_agreement
UggFkdCaioRJ7ngCoAEC.8Fb6yCjIgTs8FeER3VtjvK,NVDIHTGVcLc,apa kalian tau artinya big bang?? setau saya itu artinya LEDAKAN SUPER MEGA MEGA MEGA MEGA MEGA MEGA MEGA MEGA MEGA BESSAARRR!!!!!@,Question,High,Question,Question,confirmed,False,pass_agreement
UgwPJ19xXNwCyCU41Th4AaABAg,T8g_hUpx9VU,Next : apa benda yang paling dingin ?,Agreement,High,Question,Agreement,revised,False,verification_revision
